#{"t_start": 1765015526.1794386, "env_id": "None"}
r,l,t
-3.917869,2401,107.953564
-1.109086,2401,199.313893
-0.452001,2401,292.364734
-0.535842,2401,383.39259
-0.403328,2401,475.989782
-0.375093,2401,568.612036
-0.376984,2401,661.188642
-0.35838,2401,753.192659
-0.3337,2401,845.09018
-0.374361,2401,937.855364
-0.318759,2401,1030.11314
-0.309695,2401,1122.461732
-0.344946,2401,1214.69419
-0.365915,2401,1307.927735
-0.310892,2401,1399.267389
-0.273033,2401,1491.505595
-0.285681,2401,1583.555159
-0.287193,2401,1674.865976
-0.271568,2401,1768.047612
-0.315305,2401,1859.80426
0.513007,2401,943.228402
-0.53109,2401,973.582549
-0.436568,2401,1033.002999
-0.447744,2401,1063.370209
-0.436454,2401,1122.985036
-0.427112,2401,1153.20284
-0.492909,2401,1183.565388
-0.553133,2401,1242.691104
-0.489086,2401,1273.167126
-0.474972,2401,1333.386944
-0.432513,2401,1363.248617
-0.377689,2401,1422.3645
-0.411894,2401,1452.698257
-0.397829,2401,1512.612912
-0.402246,2401,1542.886881
-0.409205,2401,1602.0368
-0.432987,2401,1632.115717
-0.376,2401,1691.331718
-0.385541,2401,1720.961267
-0.354404,2401,1780.316063
-0.436272,2401,1811.651369
