#{"t_start": 1764802116.1366634, "env_id": "None"}
r,l,t
-41.891795,10000,10.161866
-6.072241,10000,33.881112
-1.534829,10000,50.496533
-0.998709,10000,69.085459
-0.555331,10000,92.16134
-0.523517,10000,111.310094
-0.476041,10000,128.008115
-0.306327,10000,144.527637
-0.363823,10000,160.80244
-0.216337,10000,177.351913
959
-0.616073,10000,19.999237
-0.621961,10000,21.316167
-0.615975,10000,22.625344
-0.614281,10000,23.936946
-0.621272,10000,25.247402
-0.258776,10000,35.214636
-0.257099,10000,36.522338
-0.259539,10000,37.832217
-0.258303,10000,39.138344
-0.258644,10000,40.469125
-0.112961,10000,43.662163
-0.113844,10000,44.978525
-0.115433,10000,46.294794
-0.117737,10000,47.623394
-0.119147,10000,48.970422
-0.281154,10000,51.849498
-0.283542,10000,53.165645
-0.281057,10000,54.48138
-0.28674,10000,55.803168
-0.280585,10000,57.124391
-0.055803,10000,62.22298
-0.057314,10000,63.530858
-0.052202,10000,64.827329
-0.054053,10000,66.152855
-0.051417,10000,67.565639
-0.026221,10000,70.427273
-0.037203,10000,71.743865
-0.023342,10000,73.076517
-0.024123,10000,74.394647
-0.02314,10000,75.712479
-0.023427,10000,81.232111
-0.035333,10000,82.542591
-0.037126,10000,83.844626
-0.037126,10000,85.143975
-0.024125,10000,86.453249
-0.019057,10000,93.55933
-0.006035,10000,94.873859
-0.02065,10000,96.180866
-0.008937,10000,97.534448
-0.006743,10000,98.863607
-0.015809,10000,104.257825
-0.003686,10000,105.578491
-0.01474,10000,106.886806
-0.005312,10000,108.199235
-0.003568,10000,109.513461
-0.026924,10000,112.63165
-0.021605,10000,113.937028
-0.02655,10000,115.246314
-0.023569,10000,116.55526
-0.021362,10000,117.932567
-0.116094,10000,120.806189
-0.122417,10000,122.126281
-0.116232,10000,123.440672
-0.116504,10000,124.751326
-0.120697,10000,126.067072
-0.063089,10000,129.350242
-0.062109,10000,130.677755
-0.062533,10000,131.992193
-0.062203,10000,133.308611
-0.062657,10000,134.626033
-0.023659,10000,137.402758
-0.032981,10000,138.709872
-0.028617,10000,140.018509
-0.022519,10000,141.319884
-0.022484,10000,142.626096
-0.003383,10000,145.861196
-0.003141,10000,147.196933
-0.003476,10000,148.534207
-0.004852,10000,149.878805
-0.003422,10000,151.223538
-0.072995,10000,154.064008
-0.058908,10000,155.364033
-0.057775,10000,156.66234
-0.068694,10000,157.962471
-0.06847,10000,159.265342
-0.075187,10000,162.108952
-0.068323,10000,163.414231
-0.065252,10000,164.726171
-0.063341,10000,166.046961
-0.066122,10000,167.351939
-0.034491,10000,170.600169
-0.031389,10000,171.924667
-0.03192,10000,173.241024
-0.031788,10000,174.552605
-0.041017,10000,175.870307
-0.031937,10000,178.664817
-0.028847,10000,179.980699
-0.028696,10000,181.291263
-0.042606,10000,182.605784
-0.042277,10000,183.91931
